Iterations,Accuracy (%),ATK,Aggregator,seed,f,niid
960,95.1923076923077,GA,FGC,1,6,0.1
990,95.22235576923077,GA,FGC,1,6,0.1
1020,95.38261217948718,GA,FGC,1,6,0.1
1050,95.49278846153847,GA,FGC,1,6,0.1
1080,95.64302884615384,GA,FGC,1,6,0.1
1110,95.77323717948718,GA,FGC,1,6,0.1
1140,95.90344551282051,GA,FGC,1,6,0.1
1170,95.90344551282051,GA,FGC,1,6,0.1
1200,96.02363782051282,GA,FGC,1,6,0.1
1230,96.0136217948718,GA,FGC,1,6,0.1
1260,96.11378205128206,GA,FGC,1,6,0.1
1290,96.16386217948718,GA,FGC,1,6,0.1
1320,96.31410256410257,GA,FGC,1,6,0.1
1350,96.25400641025641,GA,FGC,1,6,0.1
1380,96.19391025641026,GA,FGC,1,6,0.1
1410,96.32411858974359,GA,FGC,1,6,0.1
1440,96.47435897435898,GA,FGC,1,6,0.1
1470,96.49439102564102,GA,FGC,1,6,0.1
1500,96.54447115384616,GA,FGC,1,6,0.1
30,47.265625,GA,FGC,1,7,0.1
60,75.21033653846153,GA,FGC,1,7,0.1
90,81.69070512820512,GA,FGC,1,7,0.1
120,84.07451923076923,GA,FGC,1,7,0.1
150,85.8573717948718,GA,FGC,1,7,0.1
180,86.58854166666667,GA,FGC,1,7,0.1
210,88.09094551282051,GA,FGC,1,7,0.1
240,88.66185897435898,GA,FGC,1,7,0.1
270,89.7235576923077,GA,FGC,1,7,0.1
300,90.16426282051282,GA,FGC,1,7,0.1
330,90.81530448717949,GA,FGC,1,7,0.1
360,91.18589743589743,GA,FGC,1,7,0.1
390,91.7568108974359,GA,FGC,1,7,0.1
420,92.17748397435898,GA,FGC,1,7,0.1
450,92.37780448717949,GA,FGC,1,7,0.1
480,92.52804487179488,GA,FGC,1,7,0.1
510,92.85857371794872,GA,FGC,1,7,0.1
540,93.14903846153847,GA,FGC,1,7,0.1
570,93.26923076923077,GA,FGC,1,7,0.1
600,93.48958333333333,GA,FGC,1,7,0.1
630,93.78004807692308,GA,FGC,1,7,0.1
660,94.03044871794872,GA,FGC,1,7,0.1
690,94.21073717948718,GA,FGC,1,7,0.1
720,94.44110576923077,GA,FGC,1,7,0.1
750,94.68149038461539,GA,FGC,1,7,0.1
780,94.69150641025641,GA,FGC,1,7,0.1
810,94.54126602564102,GA,FGC,1,7,0.1
840,94.73157051282051,GA,FGC,1,7,0.1
870,94.82171474358974,GA,FGC,1,7,0.1
900,95.08213141025641,GA,FGC,1,7,0.1
930,95.1923076923077,GA,FGC,1,7,0.1
960,95.3525641025641,GA,FGC,1,7,0.1
990,95.37259615384616,GA,FGC,1,7,0.1
1020,95.44270833333333,GA,FGC,1,7,0.1
1050,95.54286858974359,GA,FGC,1,7,0.1
1080,95.64302884615384,GA,FGC,1,7,0.1
1110,95.86338141025641,GA,FGC,1,7,0.1
1140,95.88341346153847,GA,FGC,1,7,0.1
1170,95.96354166666667,GA,FGC,1,7,0.1
1200,96.15384615384616,GA,FGC,1,7,0.1
1230,96.20392628205128,GA,FGC,1,7,0.1
1260,96.16386217948718,GA,FGC,1,7,0.1
1290,96.26402243589743,GA,FGC,1,7,0.1
1320,96.4042467948718,GA,FGC,1,7,0.1
1350,96.4443108974359,GA,FGC,1,7,0.1
1380,96.46434294871794,GA,FGC,1,7,0.1
1410,96.55448717948718,GA,FGC,1,7,0.1
1440,96.58453525641026,GA,FGC,1,7,0.1
1470,96.66466346153847,GA,FGC,1,7,0.1
1500,96.64463141025641,GA,FGC,1,7,0.1
30,46.24399038461539,GA,FGC,1,8,0.1
60,74.65945512820512,GA,FGC,1,8,0.1
90,79.45713141025641,GA,FGC,1,8,0.1
120,83.3233173076923,GA,FGC,1,8,0.1
150,84.89583333333333,GA,FGC,1,8,0.1
