Iterations,Accuracy (%),niid,Aggregator,seed,f
930,89.86378205128206,0.7,GM,1,6
960,90.47475961538461,0.7,GM,1,6
990,91.06570512820512,0.7,GM,1,6
1020,89.55328525641026,0.7,GM,1,6
1050,91.14583333333333,0.7,GM,1,6
1080,91.17588141025641,0.7,GM,1,6
1110,91.16586538461539,0.7,GM,1,6
1140,91.95713141025641,0.7,GM,1,6
1170,91.24599358974359,0.7,GM,1,6
1200,91.96714743589743,0.7,GM,1,6
1230,91.8770032051282,0.7,GM,1,6
1260,90.85536858974359,0.7,GM,1,6
1290,92.51802884615384,0.7,GM,1,6
1320,91.19591346153847,0.7,GM,1,6
1350,92.77844551282051,0.7,GM,1,6
1380,91.38621794871794,0.7,GM,1,6
1410,92.71834935897436,0.7,GM,1,6
1440,92.11738782051282,0.7,GM,1,6
1470,92.21754807692308,0.7,GM,1,6
1500,93.01883012820512,0.7,GM,1,6
30,20.462740384615383,0.3,GM,2,6
60,54.73758012820513,0.3,GM,2,6
90,73.09695512820512,0.3,GM,2,6
120,81.13982371794872,0.3,GM,2,6
150,85.0360576923077,0.3,GM,2,6
180,87.53004807692308,0.3,GM,2,6
210,88.42147435897436,0.3,GM,2,6
240,89.83373397435898,0.3,GM,2,6
270,90.25440705128206,0.3,GM,2,6
300,90.75520833333333,0.3,GM,2,6
330,91.29607371794872,0.3,GM,2,6
360,91.54647435897436,0.3,GM,2,6
390,92.2275641025641,0.3,GM,2,6
420,92.42788461538461,0.3,GM,2,6
450,92.63822115384616,0.3,GM,2,6
480,93.06891025641026,0.3,GM,2,6
510,93.4795673076923,0.3,GM,2,6
540,93.68990384615384,0.3,GM,2,6
570,93.60977564102564,0.3,GM,2,6
600,93.82011217948718,0.3,GM,2,6
630,93.92027243589743,0.3,GM,2,6
660,94.04046474358974,0.3,GM,2,6
690,94.33092948717949,0.3,GM,2,6
720,94.55128205128206,0.3,GM,2,6
750,94.36097756410257,0.3,GM,2,6
780,94.6514423076923,0.3,GM,2,6
810,94.48116987179488,0.3,GM,2,6
840,94.82171474358974,0.3,GM,2,6
870,94.89182692307692,0.3,GM,2,6
900,95.07211538461539,0.3,GM,2,6
930,94.98197115384616,0.3,GM,2,6
960,95.03205128205128,0.3,GM,2,6
990,95.26241987179488,0.3,GM,2,6
1020,95.3926282051282,0.3,GM,2,6
1050,95.25240384615384,0.3,GM,2,6
1080,95.47275641025641,0.3,GM,2,6
1110,95.38261217948718,0.3,GM,2,6
1140,95.32251602564102,0.3,GM,2,6
1170,95.65304487179488,0.3,GM,2,6
1200,95.57291666666667,0.3,GM,2,6
1230,95.55288461538461,0.3,GM,2,6
1260,95.64302884615384,0.3,GM,2,6
1290,95.90344551282051,0.3,GM,2,6
1320,95.85336538461539,0.3,GM,2,6
1350,96.09375,0.3,GM,2,6
1380,96.10376602564102,0.3,GM,2,6
1410,95.92347756410257,0.3,GM,2,6
1440,96.10376602564102,0.3,GM,2,6
1470,96.20392628205128,0.3,GM,2,6
1500,96.32411858974359,0.3,GM,2,6
30,18.940304487179485,0.5,GM,2,6
