Iterations,Accuracy (%),ATK,Aggregator,seed,f
2490,9.99599358974359,IPM,AVG,1,5
2520,9.99599358974359,IPM,AVG,1,5
2550,9.99599358974359,IPM,AVG,1,5
2580,9.99599358974359,IPM,AVG,1,5
2610,9.99599358974359,IPM,AVG,1,5
2640,9.99599358974359,IPM,AVG,1,5
2670,9.99599358974359,IPM,AVG,1,5
2700,9.99599358974359,IPM,AVG,1,5
2730,9.99599358974359,IPM,AVG,1,5
2760,9.99599358974359,IPM,AVG,1,5
2790,9.99599358974359,IPM,AVG,1,5
2820,9.99599358974359,IPM,AVG,1,5
2850,9.99599358974359,IPM,AVG,1,5
2880,9.99599358974359,IPM,AVG,1,5
2910,9.99599358974359,IPM,AVG,1,5
2940,9.99599358974359,IPM,AVG,1,5
2970,9.99599358974359,IPM,AVG,1,5
3000,9.99599358974359,IPM,AVG,1,5
30,17.357772435897434,ALIE,AVG,1,5
60,29.246794871794872,ALIE,AVG,1,5
90,35.286458333333336,ALIE,AVG,1,5
120,37.05929487179487,ALIE,AVG,1,5
150,40.11418269230769,ALIE,AVG,1,5
180,42.76842948717949,ALIE,AVG,1,5
210,44.641426282051285,ALIE,AVG,1,5
240,46.584535256410255,ALIE,AVG,1,5
270,49.48918269230769,ALIE,AVG,1,5
300,49.899839743589745,ALIE,AVG,1,5
330,52.994791666666664,ALIE,AVG,1,5
360,54.14663461538461,ALIE,AVG,1,5
390,56.34014423076923,ALIE,AVG,1,5
420,56.770833333333336,ALIE,AVG,1,5
450,58.74399038461539,ALIE,AVG,1,5
480,59.31490384615385,ALIE,AVG,1,5
510,59.93589743589744,ALIE,AVG,1,5
540,61.328125,ALIE,AVG,1,5
570,62.109375,ALIE,AVG,1,5
600,62.970753205128204,ALIE,AVG,1,5
630,62.630208333333336,ALIE,AVG,1,5
660,63.43149038461539,ALIE,AVG,1,5
690,65.28445512820512,ALIE,AVG,1,5
720,64.83373397435898,ALIE,AVG,1,5
750,65.45472756410257,ALIE,AVG,1,5
780,65.63501602564102,ALIE,AVG,1,5
810,67.40785256410257,ALIE,AVG,1,5
840,67.31770833333333,ALIE,AVG,1,5
870,67.15745192307692,ALIE,AVG,1,5
900,67.80849358974359,ALIE,AVG,1,5
930,68.10897435897436,ALIE,AVG,1,5
960,68.98036858974359,ALIE,AVG,1,5
990,68.48958333333333,ALIE,AVG,1,5
1020,69.56129807692308,ALIE,AVG,1,5
1050,69.98197115384616,ALIE,AVG,1,5
1080,69.4911858974359,ALIE,AVG,1,5
1110,70.47275641025641,ALIE,AVG,1,5
1140,70.37259615384616,ALIE,AVG,1,5
1170,71.23397435897436,ALIE,AVG,1,5
1200,71.19391025641026,ALIE,AVG,1,5
1230,70.81330128205128,ALIE,AVG,1,5
1260,71.64463141025641,ALIE,AVG,1,5
1290,72.02524038461539,ALIE,AVG,1,5
1320,71.9951923076923,ALIE,AVG,1,5
1350,72.59615384615384,ALIE,AVG,1,5
1380,72.31570512820512,ALIE,AVG,1,5
1410,72.3457532051282,ALIE,AVG,1,5
1440,72.81650641025641,ALIE,AVG,1,5
1470,72.87660256410257,ALIE,AVG,1,5
1500,72.52604166666667,ALIE,AVG,1,5
1530,73.76802884615384,ALIE,AVG,1,5
1560,73.49759615384616,ALIE,AVG,1,5
1590,73.29727564102564,ALIE,AVG,1,5
1620,73.73798076923077,ALIE,AVG,1,5
1650,73.33733974358974,ALIE,AVG,1,5
1680,74.40905448717949,ALIE,AVG,1,5
1710,73.9082532051282,ALIE,AVG,1,5
1740,74.63942307692308,ALIE,AVG,1,5
1770,74.4891826923077,ALIE,AVG,1,5
1800,73.828125,ALIE,AVG,1,5
1830,74.6494391025641,ALIE,AVG,1,5
1860,75.28044871794872,ALIE,AVG,1,5
1890,74.70953525641026,ALIE,AVG,1,5
1920,75.30048076923077,ALIE,AVG,1,5
1950,74.78966346153847,ALIE,AVG,1,5
1980,75.38060897435898,ALIE,AVG,1,5
2010,75.0,ALIE,AVG,1,5
2040,75.61097756410257,ALIE,AVG,1,5
2070,76.20192307692308,ALIE,AVG,1,5
2100,75.10016025641026,ALIE,AVG,1,5
2130,75.60096153846153,ALIE,AVG,1,5
2160,75.16025641025641,ALIE,AVG,1,5
2190,75.77123397435898,ALIE,AVG,1,5
2220,76.07171474358974,ALIE,AVG,1,5
2250,75.67107371794872,ALIE,AVG,1,5
2280,77.11338141025641,ALIE,AVG,1,5
2310,77.29366987179488,ALIE,AVG,1,5
2340,77.32371794871794,ALIE,AVG,1,5
2370,77.43389423076923,ALIE,AVG,1,5
2400,77.41386217948718,ALIE,AVG,1,5
2430,77.45392628205128,ALIE,AVG,1,5
2460,77.29366987179488,ALIE,AVG,1,5
2490,77.34375,ALIE,AVG,1,5
2520,77.14342948717949,ALIE,AVG,1,5
2550,77.64423076923077,ALIE,AVG,1,5
2580,77.12339743589743,ALIE,AVG,1,5
2610,77.62419871794872,ALIE,AVG,1,5
2640,77.59415064102564,ALIE,AVG,1,5
2670,77.21354166666667,ALIE,AVG,1,5
2700,77.3838141025641,ALIE,AVG,1,5
2730,77.31370192307692,ALIE,AVG,1,5
2760,77.23357371794872,ALIE,AVG,1,5
2790,77.50400641025641,ALIE,AVG,1,5
2820,77.56410256410257,ALIE,AVG,1,5
2850,77.3838141025641,ALIE,AVG,1,5
2880,77.51402243589743,ALIE,AVG,1,5
2910,77.93469551282051,ALIE,AVG,1,5
2940,77.59415064102564,ALIE,AVG,1,5
2970,77.54407051282051,ALIE,AVG,1,5
3000,77.51402243589743,ALIE,AVG,1,5
30,7.682291666666667,GA,AVG,2,5
60,10.036057692307692,GA,AVG,2,5
90,12.5,GA,AVG,2,5
120,10.006009615384615,GA,AVG,2,5
150,10.176282051282051,GA,AVG,2,5
180,12.349759615384615,GA,AVG,2,5
210,10.24639423076923,GA,AVG,2,5
240,12.459935897435898,GA,AVG,2,5
270,9.615384615384615,GA,AVG,2,5
300,9.104567307692308,GA,AVG,2,5
330,9.264823717948717,GA,AVG,2,5
360,9.875801282051283,GA,AVG,2,5
390,14.352964743589743,GA,AVG,2,5
420,12.540064102564102,GA,AVG,2,5
450,12.970753205128204,GA,AVG,2,5
480,13.080929487179487,GA,AVG,2,5
510,11.308092948717949,GA,AVG,2,5
540,13.601762820512821,GA,AVG,2,5
570,12.610176282051283,GA,AVG,2,5
600,10.947516025641026,GA,AVG,2,5
630,15.37459935897436,GA,AVG,2,5
660,15.48477564102564,GA,AVG,2,5
690,17.25761217948718,GA,AVG,2,5
720,10.9375,GA,AVG,2,5
