Iterations,Accuracy (%),Attack,Aggregator,seed,f,s
240,91.31610576923077,ALIE,FGC,1,4,0
270,91.64663461538461,ALIE,FGC,1,4,0
300,92.08733974358974,ALIE,FGC,1,4,0
330,93.02884615384616,ALIE,FGC,1,4,0
360,93.28926282051282,ALIE,FGC,1,4,0
390,93.53966346153847,ALIE,FGC,1,4,0
420,93.71995192307692,ALIE,FGC,1,4,0
450,93.89022435897436,ALIE,FGC,1,4,0
480,94.1806891025641,ALIE,FGC,1,4,0
510,94.63141025641026,ALIE,FGC,1,4,0
540,94.75160256410257,ALIE,FGC,1,4,0
570,94.55128205128206,ALIE,FGC,1,4,0
600,94.9619391025641,ALIE,FGC,1,4,0
630,94.59134615384616,ALIE,FGC,1,4,0
660,95.12219551282051,ALIE,FGC,1,4,0
690,95.38261217948718,ALIE,FGC,1,4,0
720,95.61298076923077,ALIE,FGC,1,4,0
750,95.7832532051282,ALIE,FGC,1,4,0
780,95.71314102564102,ALIE,FGC,1,4,0
810,96.02363782051282,ALIE,FGC,1,4,0
840,95.48277243589743,ALIE,FGC,1,4,0
870,96.25400641025641,ALIE,FGC,1,4,0
900,96.00360576923077,ALIE,FGC,1,4,0
930,96.49439102564102,ALIE,FGC,1,4,0
960,96.35416666666667,ALIE,FGC,1,4,0
990,96.4443108974359,ALIE,FGC,1,4,0
1020,96.70472756410257,ALIE,FGC,1,4,0
1050,96.8349358974359,ALIE,FGC,1,4,0
1080,96.7948717948718,ALIE,FGC,1,4,0
1110,96.86498397435898,ALIE,FGC,1,4,0
1140,96.875,ALIE,FGC,1,4,0
1170,97.09535256410257,ALIE,FGC,1,4,0
1200,97.19551282051282,ALIE,FGC,1,4,0
1230,97.06530448717949,ALIE,FGC,1,4,0
1260,97.3056891025641,ALIE,FGC,1,4,0
1290,97.20552884615384,ALIE,FGC,1,4,0
1320,97.32572115384616,ALIE,FGC,1,4,0
1350,97.31570512820512,ALIE,FGC,1,4,0
1380,97.35576923076923,ALIE,FGC,1,4,0
1410,97.1854967948718,ALIE,FGC,1,4,0
1440,97.31570512820512,ALIE,FGC,1,4,0
1470,97.10536858974359,ALIE,FGC,1,4,0
1500,97.45592948717949,ALIE,FGC,1,4,0
30,47.19551282051282,ALIE,FGC,1,6,0
60,71.65464743589743,ALIE,FGC,1,6,0
90,82.32171474358974,ALIE,FGC,1,6,0
120,86.50841346153847,ALIE,FGC,1,6,0
150,86.4082532051282,ALIE,FGC,1,6,0
180,89.1826923076923,ALIE,FGC,1,6,0
210,90.38461538461539,ALIE,FGC,1,6,0
240,90.75520833333333,ALIE,FGC,1,6,0
270,90.625,ALIE,FGC,1,6,0
300,91.00560897435898,ALIE,FGC,1,6,0
330,91.796875,ALIE,FGC,1,6,0
360,91.99719551282051,ALIE,FGC,1,6,0
390,92.20753205128206,ALIE,FGC,1,6,0
420,92.5380608974359,ALIE,FGC,1,6,0
450,93.13902243589743,ALIE,FGC,1,6,0
480,93.06891025641026,ALIE,FGC,1,6,0
510,93.17908653846153,ALIE,FGC,1,6,0
540,94.07051282051282,ALIE,FGC,1,6,0
570,93.91025641025641,ALIE,FGC,1,6,0
600,93.45953525641026,ALIE,FGC,1,6,0
630,93.90024038461539,ALIE,FGC,1,6,0
660,94.12059294871794,ALIE,FGC,1,6,0
