Iterations,Accuracy (%),Attack,Aggregator,seed,niid,s
1410,97.67628205128206,LF,FGC,1,0.6,0
1440,97.86658653846153,LF,FGC,1,0.6,0
1470,98.10697115384616,LF,FGC,1,0.6,0
1500,98.09695512820512,LF,FGC,1,0.6,0
30,51.26201923076923,Mimic,FGC,1,0.4,0
60,53.52564102564103,Mimic,FGC,1,0.4,0
90,80.74919871794872,Mimic,FGC,1,0.4,0
120,85.37660256410257,Mimic,FGC,1,0.4,0
150,87.30969551282051,Mimic,FGC,1,0.4,0
180,87.9707532051282,Mimic,FGC,1,0.4,0
210,90.3145032051282,Mimic,FGC,1,0.4,0
240,90.78525641025641,Mimic,FGC,1,0.4,0
270,91.76682692307692,Mimic,FGC,1,0.4,0
300,92.39783653846153,Mimic,FGC,1,0.4,0
330,92.95873397435898,Mimic,FGC,1,0.4,0
360,93.6698717948718,Mimic,FGC,1,0.4,0
390,93.78004807692308,Mimic,FGC,1,0.4,0
420,94.05048076923077,Mimic,FGC,1,0.4,0
450,94.63141025641026,Mimic,FGC,1,0.4,0
480,95.09214743589743,Mimic,FGC,1,0.4,0
510,95.16225961538461,Mimic,FGC,1,0.4,0
540,95.60296474358974,Mimic,FGC,1,0.4,0
570,95.87339743589743,Mimic,FGC,1,0.4,0
600,95.91346153846153,Mimic,FGC,1,0.4,0
630,96.14383012820512,Mimic,FGC,1,0.4,0
660,96.10376602564102,Mimic,FGC,1,0.4,0
690,96.5244391025641,Mimic,FGC,1,0.4,0
720,96.7548076923077,Mimic,FGC,1,0.4,0
750,96.73477564102564,Mimic,FGC,1,0.4,0
780,96.7548076923077,Mimic,FGC,1,0.4,0
810,97.05528846153847,Mimic,FGC,1,0.4,0
840,97.15544871794872,Mimic,FGC,1,0.4,0
870,97.11538461538461,Mimic,FGC,1,0.4,0
900,97.21554487179488,Mimic,FGC,1,0.4,0
930,97.13541666666667,Mimic,FGC,1,0.4,0
960,97.31570512820512,Mimic,FGC,1,0.4,0
990,97.41586538461539,Mimic,FGC,1,0.4,0
1020,97.70633012820512,Mimic,FGC,1,0.4,0
1050,97.64623397435898,Mimic,FGC,1,0.4,0
1080,97.6963141025641,Mimic,FGC,1,0.4,0
1110,97.62620192307692,Mimic,FGC,1,0.4,0
1140,97.82652243589743,Mimic,FGC,1,0.4,0
1170,97.78645833333333,Mimic,FGC,1,0.4,0
1200,97.79647435897436,Mimic,FGC,1,0.4,0
1230,97.58613782051282,Mimic,FGC,1,0.4,0
1260,97.21554487179488,Mimic,FGC,1,0.4,0
