Iterations,Accuracy (%),ATK,$|\mathcal{B}|$,seed
480,92.91866987179488,LF,1,1
510,92.86858974358974,LF,1,1
540,93.49959935897436,LF,1,1
570,93.54967948717949,LF,1,1
600,93.73998397435898,LF,1,1
630,93.77003205128206,LF,1,1
660,94.03044871794872,LF,1,1
690,94.35096153846153,LF,1,1
720,94.43108974358974,LF,1,1
750,94.66145833333333,LF,1,1
780,94.8016826923077,LF,1,1
810,94.9619391025641,LF,1,1
840,95.09214743589743,LF,1,1
870,95.09214743589743,LF,1,1
900,95.29246794871794,LF,1,1
930,95.36258012820512,LF,1,1
960,95.47275641025641,LF,1,1
990,95.50280448717949,LF,1,1
1020,95.52283653846153,LF,1,1
1050,95.7832532051282,LF,1,1
1080,96.0136217948718,LF,1,1
1110,95.98357371794872,LF,1,1
1140,96.10376602564102,LF,1,1
1170,96.25400641025641,LF,1,1
1200,96.20392628205128,LF,1,1
1230,96.34415064102564,LF,1,1
1260,96.46434294871794,LF,1,1
1290,96.484375,LF,1,1
1320,96.49439102564102,LF,1,1
1350,96.46434294871794,LF,1,1
1380,96.63461538461539,LF,1,1
1410,96.62459935897436,LF,1,1
1440,96.57451923076923,LF,1,1
1470,96.88501602564102,LF,1,1
1500,96.82491987179488,LF,1,1
30,48.307291666666664,LF,2,1
60,70.6229967948718,LF,2,1
90,77.91466346153847,LF,2,1
120,82.91266025641026,LF,2,1
150,84.63541666666667,LF,2,1
180,86.61858974358974,LF,2,1
210,87.72035256410257,LF,2,1
240,88.25120192307692,LF,2,1
270,89.09254807692308,LF,2,1
300,90.04407051282051,LF,2,1
330,90.9354967948718,LF,2,1
360,91.27604166666667,LF,2,1
390,91.57652243589743,LF,2,1
420,92.03725961538461,LF,2,1
450,92.3076923076923,LF,2,1
480,92.71834935897436,LF,2,1
510,92.91866987179488,LF,2,1
540,93.16907051282051,LF,2,1
570,93.58974358974359,LF,2,1
600,93.72996794871794,LF,2,1
630,93.90024038461539,LF,2,1
660,94.13060897435898,LF,2,1
690,94.38100961538461,LF,2,1
720,94.58133012820512,LF,2,1
750,94.47115384615384,LF,2,1
780,94.72155448717949,LF,2,1
810,94.9619391025641,LF,2,1
840,94.98197115384616,LF,2,1
870,94.9619391025641,LF,2,1
900,95.13221153846153,LF,2,1
930,95.42267628205128,LF,2,1
960,95.36258012820512,LF,2,1
990,95.53285256410257,LF,2,1
1020,95.76322115384616,LF,2,1
1050,95.7832532051282,LF,2,1
1080,95.86338141025641,LF,2,1
1110,95.98357371794872,LF,2,1
1140,96.0136217948718,LF,2,1
1170,95.95352564102564,LF,2,1
1200,96.1738782051282,LF,2,1
1230,96.26402243589743,LF,2,1
1260,96.2139423076923,LF,2,1
1290,96.41426282051282,LF,2,1
1320,96.47435897435898,LF,2,1
1350,96.65464743589743,LF,2,1
1380,96.66466346153847,LF,2,1
1410,96.64463141025641,LF,2,1
1440,96.73477564102564,LF,2,1
1470,96.74479166666667,LF,2,1
1500,96.84495192307692,LF,2,1
30,41.115785256410255,LF,3,1
60,70.54286858974359,LF,3,1
90,78.44551282051282,LF,3,1
120,82.26161858974359,LF,3,1
150,84.6854967948718,LF,3,1
180,86.76883012820512,LF,3,1
210,87.7704326923077,LF,3,1
240,88.49158653846153,LF,3,1
270,89.38301282051282,LF,3,1
300,89.9639423076923,LF,3,1
330,90.57491987179488,LF,3,1
360,91.18589743589743,LF,3,1
390,91.43629807692308,LF,3,1
420,92.11738782051282,LF,3,1
450,92.16746794871794,LF,3,1
480,92.76842948717949,LF,3,1
510,93.02884615384616,LF,3,1
540,93.24919871794872,LF,3,1
570,93.4395032051282,LF,3,1
600,93.6698717948718,LF,3,1
630,93.76001602564102,LF,3,1
660,94.08052884615384,LF,3,1
690,94.15064102564102,LF,3,1
720,94.36097756410257,LF,3,1
750,94.47115384615384,LF,3,1
780,94.44110576923077,LF,3,1
810,94.74158653846153,LF,3,1
840,94.75160256410257,LF,3,1
870,95.0020032051282,LF,3,1
900,95.05208333333333,LF,3,1
930,95.41266025641026,LF,3,1
960,95.53285256410257,LF,3,1
990,95.52283653846153,LF,3,1
1020,95.6630608974359,LF,3,1
1050,95.75320512820512,LF,3,1
1080,95.81330128205128,LF,3,1
1110,95.8233173076923,LF,3,1
1140,96.00360576923077,LF,3,1
1170,95.88341346153847,LF,3,1
1200,96.08373397435898,LF,3,1
1230,96.18389423076923,LF,3,1
1260,96.26402243589743,LF,3,1
1290,96.41426282051282,LF,3,1
1320,96.47435897435898,LF,3,1
1350,96.47435897435898,LF,3,1
1380,96.49439102564102,LF,3,1
1410,96.59455128205128,LF,3,1
1440,96.69471153846153,LF,3,1
1470,96.70472756410257,LF,3,1
1500,96.82491987179488,LF,3,1
30,62.630208333333336,LF,4,1
60,73.97836538461539,LF,4,1
90,81.05969551282051,LF,4,1
120,83.64383012820512,LF,4,1
150,85.43669871794872,LF,4,1
180,86.95913461538461,LF,4,1
210,88.29126602564102,LF,4,1
240,89.11258012820512,LF,4,1
270,89.8838141025641,LF,4,1
300,90.42467948717949,LF,4,1
330,90.91546474358974,LF,4,1
360,91.2860576923077,LF,4,1
390,91.8369391025641,LF,4,1
420,92.28766025641026,LF,4,1
450,92.47796474358974,LF,4,1
480,92.8485576923077,LF,4,1
510,93.18910256410257,LF,4,1
540,93.26923076923077,LF,4,1
570,93.4395032051282,LF,4,1
600,93.64983974358974,LF,4,1
630,93.84014423076923,LF,4,1
660,94.08052884615384,LF,4,1
690,94.30088141025641,LF,4,1
720,94.23076923076923,LF,4,1
750,94.46113782051282,LF,4,1
780,94.73157051282051,LF,4,1
810,94.73157051282051,LF,4,1
840,94.94190705128206,LF,4,1
870,95.01201923076923,LF,4,1
900,95.09214743589743,LF,4,1
930,95.3125,LF,4,1
960,95.33253205128206,LF,4,1
990,95.49278846153847,LF,4,1
1020,95.45272435897436,LF,4,1
1050,95.67307692307692,LF,4,1
1080,95.64302884615384,LF,4,1
1110,95.87339743589743,LF,4,1
1140,95.89342948717949,LF,4,1
1170,95.84334935897436,LF,4,1
1200,96.14383012820512,LF,4,1
1230,96.25400641025641,LF,4,1
1260,96.19391025641026,LF,4,1
1290,96.32411858974359,LF,4,1
1320,96.28405448717949,LF,4,1
1350,96.50440705128206,LF,4,1
1380,96.65464743589743,LF,4,1
1410,96.54447115384616,LF,4,1
1440,96.63461538461539,LF,4,1
1470,96.71474358974359,LF,4,1
1500,96.76482371794872,LF,4,1
30,45.06209935897436,LF,5,1
60,70.73317307692308,LF,5,1
90,77.08333333333333,LF,5,1
120,82.97275641025641,LF,5,1
150,85.30649038461539,LF,5,1
180,86.65865384615384,LF,5,1
210,87.47996794871794,LF,5,1
240,88.66185897435898,LF,5,1
270,89.3729967948718,LF,5,1
300,89.85376602564102,LF,5,1
330,90.57491987179488,LF,5,1
360,91.11578525641026,LF,5,1
390,91.39623397435898,LF,5,1
420,91.70673076923077,LF,5,1
450,92.05729166666667,LF,5,1
480,92.1073717948718,LF,5,1
510,92.4579326923077,LF,5,1
540,92.78846153846153,LF,5,1
570,93.11899038461539,LF,5,1
600,93.29927884615384,LF,5,1
630,93.37940705128206,LF,5,1
660,93.59975961538461,LF,5,1
690,93.72996794871794,LF,5,1
720,93.96033653846153,LF,5,1
750,94.16065705128206,LF,5,1
780,94.23076923076923,LF,5,1
810,94.20072115384616,LF,5,1
840,94.53125,LF,5,1
